CASE D2_UNIFORM_REJECTION speeds=(1,2,3,60)
PIVOT index=0 speed=1 modulus=4 R=3 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,2,1,0) | (3) | () | 1 | 0 | 0
2 | (2,0,2,0) | (1,3) | () | 2 | 0 | 0
3 | (1,2,1,0) | (3) | () | 1 | 0 | 0

PIVOT index=1 speed=2 modulus=8 R=6 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,2,3,4) | (0) | () | 1 | 0 | 0
2 | (2,4,2,0) | (3) | () | 1 | 0 | 0
3 | (3,2,1,4) | (2) | () | 1 | 0 | 0
5 | (3,2,1,4) | (2) | () | 1 | 0 | 0
6 | (2,4,2,0) | (3) | () | 1 | 0 | 0
7 | (1,2,3,4) | (0) | () | 1 | 0 | 0

PIVOT index=2 speed=3 modulus=12 R=9 G=0
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,2,3,0) | (0,1,3) | () | 3 | 0 | 0
2 | (2,4,6,0) | (0,3) | () | 2 | 0 | 0
3 | (3,6,3,0) | (3) | () | 1 | 0 | 0
5 | (5,2,3,0) | (1,3) | () | 2 | 0 | 0
6 | (6,0,6,0) | (1,3) | () | 2 | 0 | 0
7 | (5,2,3,0) | (1,3) | () | 2 | 0 | 0
9 | (3,6,3,0) | (3) | () | 1 | 0 | 0
10 | (2,4,6,0) | (0,3) | () | 2 | 0 | 0
11 | (1,2,3,0) | (0,1,3) | () | 3 | 0 | 0

PIVOT index=3 speed=60 modulus=240 R=180 G=24
r | rho-vector | D-indices | H-indices | delta | shell | G
1 | (1,2,3,60) | (0,1,2) | () | 3 | 0 | 0
2 | (2,4,6,120) | (0,1,2) | () | 3 | 0 | 0
3 | (3,6,9,60) | (0,1,2) | () | 3 | 0 | 0
5 | (5,10,15,60) | (0,1,2) | () | 3 | 0 | 0
6 | (6,12,18,120) | (0,1,2) | () | 3 | 0 | 0
7 | (7,14,21,60) | (0,1,2) | () | 3 | 0 | 0
9 | (9,18,27,60) | (0,1,2) | () | 3 | 0 | 0
10 | (10,20,30,120) | (0,1,2) | () | 3 | 0 | 0
11 | (11,22,33,60) | (0,1,2) | () | 3 | 0 | 0
13 | (13,26,39,60) | (0,1,2) | () | 3 | 0 | 0
14 | (14,28,42,120) | (0,1,2) | () | 3 | 0 | 0
15 | (15,30,45,60) | (0,1,2) | () | 3 | 0 | 0
17 | (17,34,51,60) | (0,1) | (2) | 2 | 1 | 0
18 | (18,36,54,120) | (0,1) | (2) | 2 | 1 | 0
19 | (19,38,57,60) | (0,1) | (2) | 2 | 1 | 0
21 | (21,42,63,60) | (0,1) | () | 2 | 0 | 0
22 | (22,44,66,120) | (0,1) | () | 2 | 0 | 0
23 | (23,46,69,60) | (0,1) | () | 2 | 0 | 0
25 | (25,50,75,60) | (0) | (1) | 1 | 1 | 0
26 | (26,52,78,120) | (0) | (1) | 1 | 1 | 0
27 | (27,54,81,60) | (0) | (1) | 1 | 1 | 0
29 | (29,58,87,60) | (0) | (1) | 1 | 1 | 0
30 | (30,60,90,120) | (0) | () | 1 | 0 | 0
31 | (31,62,93,60) | (0) | () | 1 | 0 | 0
33 | (33,66,99,60) | (0) | () | 1 | 0 | 0
34 | (34,68,102,120) | (0) | () | 1 | 0 | 0
35 | (35,70,105,60) | (0) | () | 1 | 0 | 0
37 | (37,74,111,60) | (0) | () | 1 | 0 | 0
38 | (38,76,114,120) | (0) | () | 1 | 0 | 0
39 | (39,78,117,60) | (0) | () | 1 | 0 | 0
