# version=PROB-62-v1.0.0
# fields=id|category|name|speeds|N|A|B|safeA|firstA|safeB|firstB|fullQ2A|fullQ3A|fullQ2B|fullQ3B|robH_A|robQ2A|robQ3A|robH_B|robQ2B|robQ3B|sliceBest|sliceDeficits|affineMargin|affineH|affinePairs|affineUnion|residual
000001|stress|RF|2,3,7,9,10,12,15,16,19|10|16|19|12|12|10|14|-348|-32|-400|-69|116,166,108,90|-134|-32|136,186,80,26|-190|4|-9|-12,-9,-11,-12,-12,-12,-11,-9,-12|3|135|5|2|1
000002|stress|GCD_CLOCK_1|8,15,35,40,48,56,63,75,78|10|75|78|70|25|72|26|-1716|-24|-1888|-62|540,748,406,192|-644|6|552,756,374,126|-680|44|-28|-53,-42,-47,-50,-28,-50,-47,-42,-53|8|6500|12|4|1
000003|stress|GCD_CLOCK_2|6,8,15,21,28,35,40,48,75|10|48|75|44|8|82|13|-1316|-18|-1720|-38|336,506,306,136|-578|0|540,760,380,100|-780|60|-36|-43,-38,-57,-39,-36,-39,-57,-38,-43|7|1600|9|2|1
000004|stress|HARD_A|1,2,5,7,9,11,12,13|9|12|13|6|26|8|28|-168|-16|-178|-32|76,102,54,42|-48|-14|80,104,36,4|-72|8|-3|-3,-8,-8,-6,-6,-8,-8,-3|5|362|6|1|0
000005|stress|HARD_B|1,5,7,8,9,11,13,15|9|13|15|10|19|12|22|-198|-10|-174|-28|80,106,56,40|-44|-10|94,112,32,2|-44|12|-5|-5,-7,-5,-5,-5,-5,-7,-5|4|196|4|0|1
000006|stress|SMALL|1,2,3,5|5|3|5|2|4|2|6|4|2|4|2|8,8,2,0|4|2|12,12,2,0|4|2|1|1,-1,-1,1|2|8|2|0|0
000007|stress|STRESS_C|8,15,35,40,48,56,68,75,78|10|75|78|74|24|74|25|-1750|-24|-1904|-78|540,750,410,200|-650|0|552,760,384,144|-688|32|-28|-51,-44,-45,-55,-28,-55,-45,-44,-51|6|3900|9|3|1
000008|stress|STRESS_D|10,37,45,51,54,56,61,71,91|10|71|91|80|9|92|11|-1766|10|-2198|-46|513,739,421,167|-740|28|657,939,479,115|-1016|82|-34|-34,-49,-62,-76,-66,-76,-62,-49,-34|5|937|5|0|1
000009|stress|STRESS_E|5,28,35,40,68,88,108,148,165|10|148|165|146|31|152|35|-3580|-12|-3766|-216|1066,1504,828,364|-1410|26|1188,1664,844,286|-1644|82|-94|-107,-104,-94,-104,-96,-104,-94,-104,-107|8|1622|8|0|1
000010|stress|CHAIN3|8,15,35,40,48,56,75,132,147|10|132|147|128|21|144|47|-3048|-88|-3520|-76|954,1340,754,344|-1194|24|1056,1482,816,336|-1350|54|-65|-65,-97,-91,-98,-110,-98,-91,-97,-65|15|13653|18|3|1
000011|stress|OPT_ADD|15,21,40,48,56,105,126,280,1200|10|280|1200|382|19|1518|81|-5496|152|-28504|178|2160,3010,1732,686|-2486|196|8640,12260,7204,2742|-10932|842|-470|-500,-505,-470,-510,-500,-510,-470,-505,-500|-104|13089|280|384|1
000012|stress|AFFINE_HARD_7_98_187|7,63,70,77,98,187|7|98|187|90|16|168|29|-232|30|-528|60|420,480,230,100|220|70|804,924,432,180|384|132|-30|-30,-30,-30,-30,-30,-30|5|15|5|0|1
000013|box_n2_H30|b000001|1,2|3|1|2|2|1|2|2|2|2|2|2|2,0,0,0|2|2|2,0,0,0|2|2|2|2,2|2|0|2|0|0
000014|box_n2_H30|b000002|1,3|3|1|3|0|-1|2|4|0|0|2|2|0,0,0,0|0|0|2,0,0,0|2|2|1|1,1|-1|-1|0|0|0
000015|box_n2_H30|b000003|1,4|3|1|4|2|1|4|4|2|2|4|4|2,0,0,0|2|2|4,0,0,0|4|4|3|3,3|2|0|2|0|0
000016|box_n2_H30|b000004|1,5|3|1|5|2|1|4|5|2|2|4|4|2,0,0,0|2|2|4,0,0,0|4|4|3|3,3|2|0|2|0|0
000017|box_n2_H30|b000005|1,6|3|1|6|0|-1|4|7|0|0|4|4|0,0,0,0|0|0|4,0,0,0|4|4|2|2,2|-1|-1|0|0|0
000018|box_n2_H30|b000006|1,7|3|1|7|2|1|6|7|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|2|0|2|0|0
000019|box_n2_H30|b000007|1,8|3|1|8|2|1|6|8|2|2|6|6|2,0,0,0|2|2|6,0,0,0|6|6|4|4,4|2|0|2|0|0
