# version=PROB-62-v1.0.0
# fields=id|category|name|speeds
000001|stress|RF|2,3,7,9,10,12,15,16,19
000002|stress|GCD_CLOCK_1|8,15,35,40,48,56,63,75,78
000003|stress|GCD_CLOCK_2|6,8,15,21,28,35,40,48,75
000004|stress|HARD_A|1,2,5,7,9,11,12,13
000005|stress|HARD_B|1,5,7,8,9,11,13,15
000006|stress|SMALL|1,2,3,5
000007|stress|STRESS_C|8,15,35,40,48,56,68,75,78
000008|stress|STRESS_D|10,37,45,51,54,56,61,71,91
000009|stress|STRESS_E|5,28,35,40,68,88,108,148,165
000010|stress|CHAIN3|8,15,35,40,48,56,75,132,147
000011|stress|OPT_ADD|15,21,40,48,56,105,126,280,1200
000012|stress|AFFINE_HARD_7_98_187|7,63,70,77,98,187
000013|box_n2_H30|b000001|1,2
000014|box_n2_H30|b000002|1,3
000015|box_n2_H30|b000003|1,4
000016|box_n2_H30|b000004|1,5
000017|box_n2_H30|b000005|1,6
000018|box_n2_H30|b000006|1,7
000019|box_n2_H30|b000007|1,8
000020|box_n2_H30|b000008|1,9
000021|box_n2_H30|b000009|1,10
000022|box_n2_H30|b000010|1,11
000023|box_n2_H30|b000011|1,12
000024|box_n2_H30|b000012|1,13
000025|box_n2_H30|b000013|1,14
000026|box_n2_H30|b000014|1,15
000027|box_n2_H30|b000015|1,16
000028|box_n2_H30|b000016|1,17
000029|box_n2_H30|b000017|1,18
000030|box_n2_H30|b000018|1,19
000031|box_n2_H30|b000019|1,20
000032|box_n2_H30|b000020|1,21
000033|box_n2_H30|b000021|1,22
000034|box_n2_H30|b000022|1,23
000035|box_n2_H30|b000023|1,24
000036|box_n2_H30|b000024|1,25
000037|box_n2_H30|b000025|1,26
000038|box_n2_H30|b000026|1,27
000039|box_n2_H30|b000027|1,28
000040|box_n2_H30|b000028|1,29
000041|box_n2_H30|b000029|1,30
000042|box_n2_H30|b000030|2,3
000043|box_n2_H30|b000031|2,5
000044|box_n2_H30|b000032|2,7
000045|box_n2_H30|b000033|2,9
000046|box_n2_H30|b000034|2,11
000047|box_n2_H30|b000035|2,13
000048|box_n2_H30|b000036|2,15
000049|box_n2_H30|b000037|2,17
000050|box_n2_H30|b000038|2,19
000051|box_n2_H30|b000039|2,21
000052|box_n2_H30|b000040|2,23
000053|box_n2_H30|b000041|2,25
000054|box_n2_H30|b000042|2,27
000055|box_n2_H30|b000043|2,29
000056|box_n2_H30|b000044|3,4
000057|box_n2_H30|b000045|3,5
000058|box_n2_H30|b000046|3,7
000059|box_n2_H30|b000047|3,8
000060|box_n2_H30|b000048|3,10
000061|box_n2_H30|b000049|3,11
000062|box_n2_H30|b000050|3,13
000063|box_n2_H30|b000051|3,14
000064|box_n2_H30|b000052|3,16
000065|box_n2_H30|b000053|3,17
000066|box_n2_H30|b000054|3,19
000067|box_n2_H30|b000055|3,20
000068|box_n2_H30|b000056|3,22
000069|box_n2_H30|b000057|3,23
