n,H,tuple_index,tuple,pivot_index,pivot_speed,m,b,R_size,union_size,G,min_J,margin,construction_count,best_index,memo_min_J,uniform_energy_num,uniform_energy_den,uniform_energy_strict,star_min_J,star_margin
3,10,0,"(1,2,3)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,0,"(1,2,3)",1,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,0,"(1,2,3)",2,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,1,"(1,2,4)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,1,"(1,2,4)",1,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,1,"(1,2,4)",2,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,2,"(1,2,5)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,2,"(1,2,5)",1,2,2,2,6,4,2,4,2,1,0,4,0,1,1,4,2
3,10,2,"(1,2,5)",2,5,2,2,15,9,6,9,6,1,0,9,0,1,1,9,6
3,10,3,"(1,2,6)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,3,"(1,2,6)",1,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,3,"(1,2,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,4,"(1,2,7)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,4,"(1,2,7)",1,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,4,"(1,2,7)",2,7,2,2,21,15,6,15,6,1,0,15,0,1,1,15,6
3,10,5,"(1,2,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,5,"(1,2,8)",1,2,2,2,6,6,0,6,0,1,0,6,0,1,0,6,0
3,10,5,"(1,2,8)",2,8,2,2,24,18,6,18,6,1,0,18,0,1,1,18,6
3,10,6,"(1,2,9)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,6,"(1,2,9)",1,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,6,"(1,2,9)",2,9,2,2,27,19,8,19,8,1,0,19,0,1,1,19,8
3,10,7,"(1,2,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,7,"(1,2,10)",1,2,2,2,6,2,4,2,4,1,0,2,0,1,1,2,4
3,10,7,"(1,2,10)",2,10,2,2,30,20,10,20,10,1,0,20,0,1,1,20,10
3,10,8,"(1,3,4)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,8,"(1,3,4)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,8,"(1,3,4)",2,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,9,"(1,3,5)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,9,"(1,3,5)",1,3,2,2,9,6,3,6,3,1,0,6,0,1,1,6,3
3,10,9,"(1,3,5)",2,5,2,2,15,10,5,10,5,1,0,10,0,1,1,10,5
3,10,10,"(1,3,6)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,10,"(1,3,6)",1,3,2,2,9,5,4,5,4,1,0,5,0,1,1,5,4
3,10,10,"(1,3,6)",2,6,2,2,18,12,6,12,6,1,0,12,0,1,1,12,6
3,10,11,"(1,3,7)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,11,"(1,3,7)",1,3,2,2,9,6,3,6,3,1,0,6,0,1,1,6,3
3,10,11,"(1,3,7)",2,7,2,2,21,16,5,16,5,1,0,16,0,1,1,16,5
3,10,12,"(1,3,8)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,12,"(1,3,8)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,12,"(1,3,8)",2,8,2,2,24,20,4,20,4,1,0,20,0,1,1,20,4
3,10,13,"(1,3,9)",0,1,2,2,3,0,3,0,3,1,0,0,0,1,1,0,3
3,10,13,"(1,3,9)",1,3,2,2,9,4,5,4,5,1,0,4,0,1,1,4,5
3,10,13,"(1,3,9)",2,9,2,2,27,20,7,20,7,1,0,20,0,1,1,20,7
3,10,14,"(1,3,10)",0,1,2,2,3,1,2,1,2,1,0,1,0,1,1,1,2
3,10,14,"(1,3,10)",1,3,2,2,9,7,2,7,2,1,0,7,0,1,1,7,2
3,10,14,"(1,3,10)",2,10,2,2,30,22,8,22,8,1,0,22,0,1,1,22,8
3,10,15,"(1,4,5)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,15,"(1,4,5)",1,4,2,2,12,10,2,10,2,1,0,10,0,1,1,10,2
3,10,15,"(1,4,5)",2,5,2,2,15,13,2,13,2,1,0,13,0,1,1,13,2
3,10,16,"(1,4,6)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
3,10,16,"(1,4,6)",1,4,2,2,12,8,4,8,4,1,0,8,0,1,1,8,4
3,10,16,"(1,4,6)",2,6,2,2,18,14,4,14,4,1,0,14,0,1,1,14,4
3,10,17,"(1,4,7)",0,1,2,2,3,3,0,3,0,1,0,3,0,1,0,3,0
